time_recorded,lat,lon,total_gps_pings,n_buses,busy_index
00:00:00,32.037,34.76,6,2,0.3
00:00:00,32.07,34.824,18,2,0.9
00:00:00,32.078,34.842,12,3,0.4
00:00:00,32.081,34.84,10,3,0.3
00:00:00,32.085,34.836,6,2,0.3
00:00:00,32.088,34.839,7,2,0.3
00:00:00,32.092,34.847,7,2,0.3
00:00:00,32.095,34.886,6,2,0.3
00:00:00,32.381,35.018,8,2,0.4
00:10:00,31.873,35.168,7,2,0.3
00:10:00,32.093,34.837,9,3,0.3
00:10:00,32.967,35.5,10,2,0.5
00:20:00,32.08,34.841,6,2,0.3
00:20:00,32.085,34.836,9,3,0.3
00:30:00,32.081,34.835,6,2,0.3
00:30:00,32.086,34.837,6,2,0.3
00:30:00,32.591,34.937,6,2,0.3
00:40:00,32.088,34.839,6,2,0.3
00:40:00,32.092,34.839,22,3,0.7
00:50:00,32.092,34.839,6,2,0.3
05:10:00,32.095,34.887,6,2,0.3
05:30:00,32.056,34.779,12,4,0.3
05:30:00,32.095,34.887,11,2,0.5
05:40:00,32.016,34.806,9,2,0.4
05:40:00,32.071,34.838,7,2,0.3
05:40:00,32.095,34.887,11,3,0.3
05:40:00,32.174,34.915,8,2,0.4
05:50:00,32.056,34.779,6,2,0.3
05:50:00,32.09,34.839,6,2,0.3
05:50:00,32.095,34.886,6,2,0.3
05:50:00,32.099,34.825,6,2,0.3
06:00:00,32.08,34.795,6,2,0.3
06:00:00,32.084,34.788,9,2,0.4
06:00:00,32.09,34.878,6,2,0.3
06:00:00,32.095,34.886,18,5,0.3
06:00:00,32.099,34.825,7,2,0.3
06:00:00,32.105,34.891,16,2,0.8
06:00:00,32.174,34.915,10,3,0.3
06:10:00,31.893,34.807,6,2,0.3
06:10:00,32.094,34.882,6,2,0.3
06:10:00,32.095,34.888,7,2,0.3
06:10:00,32.105,34.891,15,2,0.7
06:20:00,32.067,34.765,12,3,0.4
06:20:00,32.083,34.903,6,2,0.3
06:20:00,32.085,34.836,8,2,0.4
06:20:00,32.091,34.884,12,2,0.6
06:20:00,32.095,34.887,11,3,0.3
06:20:00,32.099,34.825,6,2,0.3
06:20:00,32.105,34.891,14,2,0.7
06:30:00,32.055,34.769,12,2,0.6
06:30:00,32.056,34.78,7,2,0.3
06:30:00,32.085,34.83,6,2,0.3
06:30:00,32.086,34.811,9,3,0.3
06:30:00,32.095,34.886,10,2,0.5
06:30:00,32.095,34.887,6,2,0.3
06:30:00,32.105,34.891,17,2,0.8
06:30:00,32.125,34.858,6,2,0.3
06:30:00,32.174,34.915,6,2,0.3
06:30:00,32.201,34.971,6,2,0.3
06:40:00,31.913,35.017,6,2,0.3
06:40:00,32.061,34.785,6,2,0.3
06:40:00,32.068,34.765,12,4,0.3
06:40:00,32.068,34.766,7,2,0.3
06:40:00,32.074,34.79,6,2,0.3
06:40:00,32.075,34.791,6,2,0.3
06:40:00,32.078,34.906,6,2,0.3
06:40:00,32.083,34.805,11,3,0.3
06:40:00,32.085,34.84,11,3,0.3
06:40:00,32.089,34.815,6,2,0.3
06:40:00,32.09,34.821,6,2,0.3
06:40:00,32.09,34.883,6,2,0.3
06:40:00,32.092,34.834,6,2,0.3
06:40:00,32.094,34.886,7,2,0.3
06:40:00,32.095,34.886,27,6,0.4
06:40:00,32.097,34.852,6,2,0.3
06:40:00,32.205,34.973,6,2,0.3
06:50:00,32.037,34.762,10,2,0.5
06:50:00,32.055,34.968,31,4,0.7
06:50:00,32.057,34.834,6,2,0.3
06:50:00,32.058,34.835,8,2,0.4
06:50:00,32.083,34.805,6,2,0.3
06:50:00,32.088,34.894,10,3,0.3
06:50:00,32.961,35.492,9,3,0.3
07:00:00,32.057,34.834,11,3,0.3
07:00:00,32.063,34.862,6,2,0.3
07:00:00,32.071,34.772,6,2,0.3
07:00:00,32.074,34.866,6,2,0.3
07:00:00,32.083,34.805,6,2,0.3
07:00:00,32.088,34.839,10,2,0.5
07:00:00,32.089,34.894,10,3,0.3
07:00:00,32.092,34.864,6,2,0.3
07:00:00,32.092,34.866,16,5,0.3
07:00:00,32.093,34.881,7,2,0.3
07:00:00,32.095,34.886,27,5,0.5
07:00:00,32.105,34.804,6,2,0.3
07:10:00,32.052,34.849,13,2,0.6
07:10:00,32.056,34.779,9,3,0.3
07:10:00,32.058,34.835,12,4,0.3
07:10:00,32.059,34.846,17,3,0.5
07:10:00,32.084,34.803,6,2,0.3
07:10:00,32.085,34.84,9,3,0.3
07:10:00,32.092,34.863,16,4,0.4
07:10:00,32.092,34.864,14,4,0.3
07:10:00,32.092,34.866,30,9,0.3
07:10:00,32.093,34.848,6,2,0.3
07:10:00,32.093,34.881,11,2,0.5
07:10:00,32.094,34.883,8,2,0.4
07:10:00,32.095,34.886,21,5,0.4
07:10:00,32.095,34.887,10,2,0.5
07:10:00,32.105,34.891,7,2,0.3
07:20:00,32.037,34.866,8,2,0.4
07:20:00,32.051,34.849,15,2,0.7
07:20:00,32.056,34.78,9,2,0.4
07:20:00,32.056,34.781,8,2,0.4
07:20:00,32.057,34.834,7,2,0.3
07:20:00,32.058,34.835,19,5,0.3
07:20:00,32.06,34.835,12,2,0.6
07:20:00,32.066,34.787,19,3,0.6
07:20:00,32.074,34.79,6,2,0.3
07:20:00,32.082,34.796,9,2,0.4
07:20:00,32.087,34.829,6,2,0.3
07:20:00,32.091,34.867,7,2,0.3
07:20:00,32.091,34.87,17,4,0.4
07:20:00,32.092,34.863,21,6,0.3
07:20:00,32.092,34.864,36,8,0.4
07:20:00,32.092,34.865,12,3,0.4
07:20:00,32.092,34.866,50,11,0.4
07:20:00,32.092,34.867,13,3,0.4
07:20:00,32.094,34.883,8,2,0.4
07:20:00,32.095,34.886,16,3,0.5
07:20:00,32.117,34.977,7,2,0.3
07:30:00,31.799,35.213,6,2,0.3
07:30:00,31.893,34.807,6,2,0.3
07:30:00,31.917,35.08,13,2,0.6
07:30:00,32.002,34.752,9,2,0.4
07:30:00,32.056,34.78,11,2,0.5
07:30:00,32.058,34.835,15,3,0.5
07:30:00,32.059,34.835,15,2,0.7
07:30:00,32.06,34.845,8,2,0.4
07:30:00,32.061,34.846,8,2,0.4
07:30:00,32.069,34.839,10,2,0.5
07:30:00,32.083,34.806,8,2,0.4
07:30:00,32.084,34.815,10,3,0.3
07:30:00,32.086,34.835,11,2,0.5
07:30:00,32.087,34.806,15,2,0.7
07:30:00,32.09,34.811,8,2,0.4
07:30:00,32.09,34.826,7,2,0.3
07:30:00,32.091,34.825,6,2,0.3
07:30:00,32.091,34.869,7,2,0.3
07:30:00,32.092,34.833,20,2,1.0
07:30:00,32.092,34.847,9,3,0.3
07:30:00,32.092,34.862,9,3,0.3
